Id,SSN,Age,Salary,COVID Test Result,Pre-Existing Conditions,Recovery Time
0351,443-44-6482,55,71000,0,high blood pressure,0
0445,528-87-4171,43,86000,1,high blood pressure,7
0016,026-15-4240,18,95000,1,diabetes,7
0977,811-40-8857,57,45000,0,diabetes,0
0430,556-17-0700,26,56000,0,none,0
0166,368-18-6407,37,92000,1,none,2
0005,874-54-5677,37,68000,1,none,7
0857,725-42-1572,47,42000,1,asthma,7
0725,862-20-6221,56,48000,1,asthma,7
0102,527-50-0844,23,90000,0,high blood pressure,0
0779,026-57-5870,40,74000,0,asthma,0
0846,468-81-6021,47,56000,1,none,7
0913,501-22-5580,26,43000,1,none,4
0726,668-51-5056,40,87000,0,asthma,0
0810,010-73-5875,37,83000,1,none,2
0569,570-65-6077,19,67000,1,none,2
0790,237-75-2444,25,46000,0,none,0
0860,230-62-4866,57,97000,1,none,6
0910,601-58-4633,58,63000,1,asthma,4
0296,052-78-3587,53,85000,0,asthma,0
0397,611-55-1016,24,50000,0,none,0
0344,214-05-1283,38,51000,0,high blood pressure,0
0309,132-65-6653,30,96000,1,none,4
0425,242-77-4125,24,42000,1,none,4
0700,282-37-0846,39,61000,1,none,4
0460,776-54-1036,33,53000,1,none,4
0009,517-03-3030,44,101000,0,high blood pressure,0
0465,100-67-0247,45,95000,1,none,6
0752,380-50-3184,35,82000,1,diabetes,3
0866,275-36-8520,20,58000,1,diabetes,5
0022,676-30-3200,41,66000,1,high blood pressure,3
0456,331-24-3230,28,55000,0,none,0
0656,357-48-0165,39,81000,1,none,3
0707,222-17-4237,21,61000,1,none,3
0897,532-50-6274,40,87000,1,none,4
0306,443-21-1684,45,93000,1,asthma,6
0905,676-20-4650,35,88000,0,none,0
0964,204-63-1354,29,78000,1,none,7
0646,065-84-5847,46,79000,0,asthma,0
0736,242-53-1552,57,89000,1,diabetes,7
0170,045-71-6632,53,62000,1,diabetes,6
0041,735-32-6376,42,49000,1,diabetes,6
0959,454-80-7844,51,102000,1,diabetes,6
0139,114-35-6663,33,89000,1,none,5
0242,756-08-4075,35,84000,0,high blood pressure,0
0481,763-83-0405,55,101000,0,asthma,0
0140,280-17-2811,29,47000,0,none,0
0526,510-20-3516,44,55000,1,asthma,6
0202,873-03-8454,36,85000,1,high blood pressure,6
0264,680-60-2102,19,71000,0,diabetes,0
0870,563-70-7420,18,51000,1,asthma,3
0079,511-31-3116,36,89000,1,none,2
0751,568-84-4775,18,86000,0,none,0
0786,158-26-4812,32,53000,0,none,0
0418,410-75-0851,54,96000,0,asthma,0
0089,445-50-8624,58,53000,1,asthma,3
0044,536-46-0481,34,64000,0,none,0
0975,147-02-8041,55,100000,1,asthma,6
0339,701-57-2754,37,50000,0,none,0
0972,473-88-6065,29,60000,1,none,2
0153,236-40-1042,18,62000,0,none,0
0298,264-06-1152,56,98000,1,asthma,6
0611,018-37-5084,20,53000,1,none,5
0808,822-80-8113,40,89000,1,asthma,6
0463,268-55-7236,40,73000,1,asthma,3
0594,152-68-7162,44,93000,1,diabetes,3
0603,470-50-0388,51,86000,1,diabetes,5
0814,313-02-2867,34,47000,0,high blood pressure,0
0839,618-38-8758,46,77000,1,high blood pressure,6
0748,112-36-6643,42,68000,1,asthma,7
0909,404-77-5313,55,82000,1,high blood pressure,6
0765,576-04-0722,50,90000,0,none,0
0531,738-08-6532,45,93000,1,high blood pressure,4
0980,036-82-5123,22,102000,1,none,6
0158,556-75-7763,20,82000,0,none,0
0973,346-07-1230,28,59000,0,none,0
0325,018-46-3127,29,84000,0,none,0
0287,241-05-7752,52,84000,1,none,2
0579,784-35-4675,39,70000,1,none,4
0204,756-68-5786,21,69000,1,none,6
0632,582-20-1237,21,59000,1,none,4
0727,510-64-0070,41,60000,1,none,2
0063,813-20-0665,48,64000,1,asthma,5
0093,187-58-6367,18,74000,0,none,0
0837,175-86-6785,26,46000,0,diabetes,0
0459,373-87-8466,53,84000,1,asthma,6
0855,236-15-5258,54,88000,1,diabetes,7
0793,382-13-7582,58,61000,0,diabetes,0
0274,117-55-5222,36,75000,1,none,3
0065,364-52-0107,30,56000,0,none,0
0772,321-45-2815,20,80000,0,none,0
0253,641-86-3328,24,92000,0,diabetes,0
0881,365-16-4088,40,98000,1,asthma,7
0702,825-47-4027,29,95000,0,none,0
0685,007-14-1654,20,71000,0,none,0
0007,214-46-2211,38,58000,0,none,0
0076,118-55-6754,36,52000,0,none,0
0260,778-30-2556,38,68000,1,diabetes,5
0699,157-35-8147,56,101000,1,high blood pressure,7
0212,882-83-2217,28,73000,0,none,0
0393,006-81-7008,25,59000,0,none,0
0284,181-51-7268,20,82000,1,none,5
0071,181-75-0368,23,49000,0,none,0
0771,427-70-1105,23,103000,0,none,0
0677,160-30-0550,28,69000,0,high blood pressure,0
0882,824-78-0014,18,55000,0,high blood pressure,0
0341,452-64-0136,21,92000,0,none,0
0013,448-35-0438,31,48000,0,diabetes,0
0396,301-30-6818,21,93000,1,none,2
0211,511-48-2374,34,50000,1,none,2
0931,181-06-2857,23,96000,1,none,7
0834,784-16-3362,46,93000,0,diabetes,0
0112,473-27-4525,40,93000,1,diabetes,3
0122,548-18-7842,27,63000,1,asthma,5
0755,372-38-7615,37,45000,0,none,0
0775,520-24-4760,30,44000,1,none,5
0152,873-46-2470,56,85000,0,high blood pressure,0
0151,222-74-7085,58,45000,0,none,0
0738,403-81-0644,31,43000,1,diabetes,6
0619,367-17-8222,21,95000,1,none,2
0545,842-41-8357,31,59000,1,none,5
0807,121-22-5254,21,67000,1,none,2
0968,376-24-8431,36,46000,0,high blood pressure,0
0060,608-55-2645,49,87000,1,diabetes,5
0375,324-85-7634,24,96000,0,none,0
0392,808-85-0263,23,93000,0,none,0
0290,277-54-8701,23,55000,1,none,4
0701,474-22-6047,55,57000,1,diabetes,7
0133,285-07-5481,49,75000,0,asthma,0
0002,520-07-1581,30,98000,0,none,0
0585,261-68-5437,36,102000,1,high blood pressure,7
0813,047-64-2267,57,98000,1,none,4
0362,646-77-2012,51,61000,1,diabetes,7
0829,334-73-2554,19,89000,1,asthma,3
0798,636-28-7748,26,80000,1,none,5
0265,507-05-2478,51,52000,1,asthma,3
0319,531-23-0701,31,72000,0,asthma,0
0249,655-88-5110,31,60000,1,high blood pressure,6
0040,373-70-6846,44,76000,0,diabetes,0
0251,787-07-7715,30,52000,0,high blood pressure,0
0758,237-02-8836,39,63000,0,none,0
0311,747-11-0081,26,54000,0,none,0
0976,137-73-3260,19,62000,0,none,0
0422,532-08-2247,20,100000,1,diabetes,4
0722,533-35-8302,33,64000,0,none,0
0984,320-16-3242,50,98000,0,asthma,0
0194,004-05-0210,30,101000,0,none,0
0039,670-51-5302,18,57000,0,none,0
0230,682-21-4366,46,67000,0,diabetes,0
0713,863-41-8762,49,66000,1,diabetes,4
0331,458-13-8147,55,88000,1,asthma,7
0209,333-08-6051,19,48000,1,asthma,3
0753,276-50-5383,49,72000,1,diabetes,7
0283,072-05-4132,46,91000,1,diabetes,7
0052,758-28-0428,27,78000,0,asthma,0
0988,453-30-1755,26,99000,1,none,2
0732,022-32-3225,34,76000,0,high blood pressure,0
0018,886-82-3344,44,49000,1,high blood pressure,5
0405,088-70-5233,55,86000,1,high blood pressure,6
0197,303-08-2363,24,50000,0,none,0
0915,063-55-6416,57,86000,1,diabetes,6
0493,125-23-2325,24,80000,1,none,2
0706,643-33-2103,29,60000,0,asthma,0
0105,473-75-1423,47,70000,1,high blood pressure,7
0637,754-12-1383,45,91000,1,diabetes,3
0134,715-04-6671,18,76000,1,none,2
0280,320-44-6834,21,92000,1,diabetes,6
0778,346-72-6323,43,96000,1,asthma,7
0135,165-35-5240,24,56000,1,none,2
0777,350-66-4057,31,99000,1,none,3
0645,482-18-0841,56,72000,0,asthma,0
0092,360-01-5288,50,49000,1,asthma,5
0916,780-03-2102,50,69000,0,high blood pressure,0
0920,310-86-4126,57,59000,0,high blood pressure,0
0360,245-26-2853,32,65000,1,none,4
0346,438-81-0481,27,88000,0,none,0
0627,108-81-3640,44,74000,0,diabetes,0
0227,022-73-7048,30,76000,0,none,0
0883,171-50-2881,33,76000,0,none,0
0559,821-33-5607,47,59000,0,high blood pressure,0
0828,626-70-8037,37,80000,0,high blood pressure,0
0554,361-20-6064,21,86000,1,none,6
0037,714-34-0607,52,87000,1,asthma,7
0640,683-18-0867,35,57000,0,none,0
0161,440-47-1644,56,88000,0,diabetes,0
0180,514-02-8644,22,47000,0,none,0
0289,221-30-2335,22,42000,1,none,4
0020,115-53-1827,45,87000,1,high blood pressure,5
0672,200-16-4617,22,51000,1,none,3
0364,700-86-8023,46,50000,1,high blood pressure,7
0125,581-62-0715,46,57000,1,diabetes,6
0057,016-87-2210,41,79000,1,asthma,5
0572,072-06-0284,55,43000,1,high blood pressure,6
0268,051-32-0524,50,74000,1,diabetes,4
0115,487-47-2580,47,49000,0,diabetes,0
0930,210-32-2518,33,88000,1,none,3
0543,255-82-8813,46,54000,1,diabetes,3
0220,072-27-7750,19,97000,0,none,0
0827,447-70-5680,25,90000,1,none,7
0595,708-53-2241,40,81000,1,diabetes,6
0215,516-01-4385,32,79000,0,none,0
0270,238-54-3627,46,85000,1,high blood pressure,7
0443,222-84-6082,51,103000,1,asthma,5
0962,456-74-7754,27,59000,1,none,4
0762,704-64-4424,52,93000,0,high blood pressure,0
0365,332-51-0700,38,78000,0,asthma,0
0056,171-60-7128,56,78000,0,asthma,0
0821,663-42-0366,43,53000,0,diabetes,0
0570,225-82-2430,52,69000,1,none,2
0950,344-00-0315,55,65000,1,none,4
0192,174-61-3154,41,93000,1,high blood pressure,7
0836,535-22-3350,21,82000,1,none,4
0006,348-61-8221,44,51000,0,high blood pressure,0
0689,273-52-7642,45,60000,1,diabetes,7
0556,401-51-7504,47,68000,1,asthma,6
0850,680-20-8411,25,67000,0,high blood pressure,0
0480,842-51-2582,19,73000,0,asthma,0
0503,483-58-5843,34,59000,0,none,0
0269,510-54-5643,30,88000,1,none,6
0811,555-71-3521,27,99000,0,none,0
0414,841-83-4672,49,96000,1,asthma,6
0144,886-33-7680,42,84000,1,none,4
0600,502-87-2650,46,61000,1,high blood pressure,5
0633,310-26-3244,34,87000,0,asthma,0
0967,326-71-6638,30,99000,0,none,0
0415,316-02-2640,43,72000,1,diabetes,5
0674,704-78-4377,42,62000,0,high blood pressure,0
0691,032-76-6247,55,60000,1,asthma,3
0996,305-53-7285,55,93000,1,high blood pressure,3
0203,221-88-5654,44,102000,1,asthma,4
0467,541-07-4861,57,96000,1,high blood pressure,5
0077,355-00-2034,48,81000,0,diabetes,0
0879,133-27-3117,54,100000,1,high blood pressure,6
0486,427-21-1231,27,56000,1,asthma,5
0130,454-76-1686,33,43000,0,none,0
0514,808-63-7808,48,66000,1,none,3
0314,301-03-2702,21,95000,1,none,6
0711,460-23-6083,45,56000,1,diabetes,6
0067,325-37-4486,32,43000,0,none,0
0955,631-17-7552,40,42000,0,diabetes,0
0953,470-02-1584,42,76000,1,asthma,3
0282,088-57-2073,39,63000,1,none,2
0123,685-81-2865,58,83000,0,high blood pressure,0
0219,427-40-8777,55,66000,0,asthma,0
0946,356-13-0503,30,60000,1,none,2
0774,140-86-7463,28,94000,1,none,4
0001,483-27-2223,33,78000,0,none,0
0337,414-42-7800,37,42000,0,none,0
0621,804-71-6028,18,70000,1,none,5
0538,156-36-4610,36,92000,0,none,0
0062,621-42-4417,31,89000,0,none,0
0198,171-43-2266,55,55000,1,asthma,3
0734,027-18-6280,25,44000,1,none,7
0524,742-06-2265,25,82000,1,diabetes,5
0129,255-68-4373,58,85000,0,asthma,0
0074,814-83-1465,27,57000,0,none,0
0851,605-55-4151,46,49000,1,diabetes,6
0842,658-45-1828,52,81000,1,high blood pressure,7
0501,458-33-6522,54,44000,1,asthma,5
0301,427-28-0348,47,88000,1,diabetes,4
0668,352-63-7586,47,46000,1,high blood pressure,5
0995,761-55-4860,21,90000,1,high blood pressure,5
0606,551-00-3085,53,101000,1,none,4
0293,351-55-8022,29,45000,1,asthma,5
0649,323-74-2230,20,73000,0,none,0
0483,327-72-0044,29,92000,0,none,0
0474,312-14-6487,44,73000,1,asthma,6
0938,538-37-1822,18,43000,0,none,0
0669,135-43-2203,26,92000,1,none,6
0593,574-15-6811,35,99000,0,none,0
0708,772-77-7200,41,76000,1,asthma,6
0597,602-40-6373,48,53000,1,diabetes,3
0982,731-42-7117,20,42000,1,none,3
0958,606-11-6765,31,90000,0,none,0
0083,551-62-4312,21,55000,1,none,2
0431,318-57-6877,35,78000,0,asthma,0
0259,207-84-0707,55,91000,0,none,0
0894,207-67-1587,27,60000,0,none,0
0472,280-54-6740,39,103000,1,none,3
0806,827-17-1728,43,85000,1,asthma,6
0159,043-80-8507,26,79000,0,none,0
0128,857-05-0460,23,44000,1,none,3
0035,451-07-3023,53,71000,0,asthma,0
0769,184-24-8561,48,52000,1,asthma,7
0231,040-28-5560,50,51000,1,asthma,5
0111,383-47-3460,54,75000,1,high blood pressure,5
0026,606-48-4213,39,49000,1,diabetes,7
0815,180-32-6105,42,76000,1,high blood pressure,3
0662,645-78-5330,20,53000,0,none,0
0724,472-87-5853,52,99000,1,asthma,5
0832,242-54-2423,36,59000,0,high blood pressure,0
0709,862-53-0724,51,102000,1,asthma,6
0598,003-60-6802,23,103000,1,none,5
0272,603-57-1617,45,99000,1,asthma,7
0017,675-74-3054,24,88000,1,high blood pressure,7
0904,013-47-7334,44,85000,1,diabetes,7
0818,715-11-3647,41,86000,1,high blood pressure,5
0680,183-87-6480,48,43000,1,high blood pressure,6
0873,062-48-1322,45,46000,1,high blood pressure,7
0120,517-83-4556,41,80000,1,high blood pressure,7
0564,450-54-3511,26,60000,0,none,0
0960,410-36-7050,49,79000,1,diabetes,7
0205,661-81-4130,32,71000,1,none,3
0628,571-60-1402,39,87000,1,diabetes,7
0117,853-74-3361,25,44000,0,none,0
0085,207-32-6375,42,97000,1,diabetes,3
0106,764-77-7435,37,42000,0,none,0
0576,181-50-3858,46,59000,0,diabetes,0
0193,602-62-8483,44,85000,1,none,4
0608,237-77-2815,34,76000,0,diabetes,0
0149,761-78-5304,41,68000,0,high blood pressure,0
0663,858-63-4701,25,43000,0,high blood pressure,0
0792,842-43-1886,25,88000,1,asthma,6
0552,048-12-6330,39,69000,1,none,6
0985,741-00-1712,33,82000,1,none,3
0156,342-10-6840,19,76000,0,none,0
0244,114-24-5630,55,68000,0,diabetes,0
0049,121-32-0048,21,54000,1,none,2
0742,443-78-5623,22,88000,1,none,4
0176,377-25-7653,23,74000,1,none,3
0541,351-23-3060,39,98000,1,high blood pressure,3
0014,048-44-4816,51,78000,1,asthma,5
0509,808-35-5721,44,78000,1,diabetes,6
0562,071-14-2887,34,93000,0,none,0
0626,168-48-8403,53,103000,1,diabetes,7
0321,212-80-8003,42,71000,1,asthma,6
0338,284-25-5327,42,83000,1,diabetes,6
0327,655-51-1144,32,96000,0,asthma,0
0843,864-26-8546,52,83000,1,high blood pressure,5
0488,077-47-4361,23,42000,0,none,0
0442,222-48-1185,57,76000,1,high blood pressure,7
0374,043-03-7218,23,98000,1,none,4
0165,212-38-0385,22,81000,1,asthma,3
0101,867-88-5361,32,76000,1,none,4
0508,064-15-2382,50,102000,1,high blood pressure,4
0318,866-25-4120,55,55000,1,high blood pressure,6
0466,256-14-1105,41,91000,1,high blood pressure,6
0434,145-67-3260,49,43000,1,none,4
0479,462-12-1888,43,69000,0,asthma,0
0676,404-67-5658,36,99000,0,none,0
0087,784-55-8715,27,52000,1,none,4
0184,724-26-0325,37,66000,1,none,2
0720,252-54-2063,53,65000,0,diabetes,0
0073,282-71-0155,51,51000,1,high blood pressure,4
0770,751-23-7524,49,47000,1,high blood pressure,7
0919,662-36-4065,26,48000,0,none,0
0199,821-12-5131,35,42000,0,none,0
0549,414-56-3662,28,88000,0,none,0
0427,132-82-7145,56,74000,1,diabetes,5
0008,728-52-7225,48,43000,1,asthma,5
0892,032-88-8683,28,54000,0,none,0
0464,147-26-4676,30,58000,1,none,4
0235,888-88-6844,32,102000,0,none,0
0869,060-41-0074,36,60000,0,none,0
0297,137-30-2766,30,72000,0,none,0
0046,576-85-1646,45,93000,1,asthma,6
0181,714-28-1260,31,96000,1,asthma,5
0596,123-33-8042,27,93000,1,diabetes,6
0091,811-30-2274,24,64000,1,asthma,4
0944,010-40-6184,41,58000,1,high blood pressure,7
0352,544-20-8805,30,70000,0,none,0
0267,262-67-4107,47,57000,1,diabetes,4
0618,773-18-6408,37,66000,0,diabetes,0
0094,243-53-3261,51,81000,1,asthma,7
0651,523-24-4021,19,67000,0,none,0
0542,670-88-3578,49,94000,1,asthma,7
0485,270-10-7874,33,92000,0,none,0
0103,465-31-7525,48,45000,0,high blood pressure,0
0317,678-06-2370,54,102000,0,diabetes,0
0664,631-01-3224,36,99000,1,high blood pressure,4
0568,044-18-2763,44,49000,0,diabetes,0
0355,383-42-1400,32,78000,1,none,6
0935,206-34-4075,29,88000,0,none,0
0096,307-23-0681,40,43000,0,high blood pressure,0
0521,613-43-5142,56,91000,0,high blood pressure,0
0435,374-51-5828,35,45000,0,none,0
0540,732-14-8100,51,102000,0,high blood pressure,0
0099,223-23-6730,25,103000,0,none,0
0582,870-33-2658,51,72000,0,diabetes,0
0024,308-67-3803,51,48000,1,high blood pressure,6
